id,genre,language,audio_description
1801,Islamic,bangla,"Audio with medium tempo, medium energy, balanced sound, complex rhythm"
1360,Hiphop,bangla,"Audio with fast tempo, medium energy, balanced sound, complex rhythm"
1427,Pop,bangla,"Audio with medium tempo, medium energy, balanced sound, complex rhythm"
92,Pop,bangla,"Audio with medium tempo, medium energy, balanced sound, complex rhythm"
pop,pop,english,"Audio with fast tempo, medium energy, balanced sound, complex rhythm"
blues,blues,english,"Audio with fast tempo, medium energy, balanced sound, complex rhythm"
181,Indie,bangla,"Audio with medium tempo, high energy, balanced sound, complex rhythm"
disco,disco,english,"Audio with fast tempo, medium energy, balanced sound, complex rhythm"
340,Metal,bangla,"Audio with medium tempo, medium energy, balanced sound, complex rhythm"
hiphop,hiphop,english,"Audio with medium tempo, medium energy, balanced sound, complex rhythm"
